species
Plecotus austriacus
Pipistrellus nathusii
Myotis daubentonii
Nyctalus noctula
Pipistrellus pipistrellus
Pipistrellus pipistrellus
Pipistrellus nathusii
Pipistrellus nathusii
Eptesicus serotinus
Myotis bechsteinii
Pipistrellus nathusii
Pipistrellus pygmaeus
Pipistrellus pipistrellus
Plecotus austriacus
Myotis daubentonii
Nyctalus noctula
Myotis brandtii
Myotis mystacinus
Pipistrellus nathusii
Pipistrellus pygmaeus
Pipistrellus nathusii
Rhinolophus hipposideros
Nyctalus leisleri
Pipistrellus pipistrellus
Pipistrellus nathusii
Nyctalus noctula
Plecotus austriacus
Pipistrellus nathusii
Myotis nattereri
Pipistrellus pipistrellus
Pipistrellus nathusii
Plecotus auritus
Barbastella barbastellus
Pipistrellus nathusii
Myotis brandtii
Pipistrellus pipistrellus
Myotis nattereri
