x,y,s
-0.9094765163027341,-0.33777514634106365,0.04814222834411014
-0.9222289453506546,-0.2591249707128177,0.04644200657801176
-0.9203781796704479,-0.1698471218341671,0.05603351058652408
-0.9376685638345026,-0.10516788882759677,0.03960306576791049
-0.939151560039363,-0.054370125994324,0.06523221913588392
-0.9118476785942244,0.05422791915290592,0.05773391076725288
-0.9487720178795989,0.11241046777003318,0.05463815895554767
-0.8913704008814116,0.18274725415491044,0.04062952837117747
-0.9458730908878253,0.2208829546543071,0.06264589417820807
-0.894699277896919,0.3099239772486168,0.05536590926843035
-0.8514416337116016,-0.41948407103230523,0.056686100450840264
-0.8178574162790998,-0.3615992311187808,0.04528562204337464
-0.8557969186547674,-0.3251144904531805,0.039903310340137575
-0.8736984480874245,-0.26221356010639824,0.05684679766766002
-0.848799629471779,-0.1915618768216843,0.04583465863113211
-0.8686080947420011,-0.10982860732183661,0.03556014830766062
-0.8453427500998832,-0.0007254865307229838,0.047440877001161535
-0.8655382184570489,0.031312169328172094,0.03916749174050932
-0.8547141922245599,0.07692958046214252,0.05798695484776326
-0.8738597773172958,0.1961735060096738,0.05912354130734013
-0.8811601278503373,0.23811363547216538,0.05702393370332331
-0.8797998049745595,0.3285511481879724,0.045335162220625086
-0.8626539011034163,0.3991608361523696,0.03845038963249553
-0.8699953231883085,0.4739335287997208,0.04648495816137619
-0.783882844566727,-0.5728941652094742,0.04104238855722381
-0.8075052989282138,-0.5046576537337198,0.06509118739295622
-0.7860178318832446,-0.43173261231337773,0.06260878846012188
-0.8107722757054934,-0.40413628207639707,0.05949916129116027
-0.8152042873744387,-0.278947892226313,0.06635436235547366
-0.7866132355403447,-0.23926929950787185,0.046674222144403824
-0.8108246593137688,-0.1733913908032544,0.04478686900712928
-0.8232384157043398,-0.13455053803114664,0.045569231383431316
-0.785553830268423,-0.02386707126807374,0.0573586006889471
-0.763768104924891,0.07943523406223386,0.07396766437511915
-0.7866615304047271,0.08750742141294647,0.03496474446531702
-0.7686737763303282,0.16326297408796628,0.046449968870445515
